Cooperation Rate,Opponent Cooperation Rate,Last Move,Opponent Last Move,Penultimate Move,Opponent Penultimate Move,Penultimate + 1 Move,Opponent Penultimate + 1 Move,Copy Rate
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.0,0.01,D,D,D,D,D,D,0.9897959183673469
0.34,0.0,D,D,C,D,D,D,0.6632653061224489
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.08,0.95,D,C,D,C,D,C,0.10204081632653061
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.74,0.66,D,D,C,D,D,D,0.8673469387755102
0.34,0.0,D,D,C,D,D,D,0.6632653061224489
1.0,0.99,C,C,C,C,C,C,1.0
0.02,0.5,D,C,D,D,D,C,0.5102040816326531
1.0,1.0,C,C,C,C,C,C,1.0
0.02,0.86,D,C,D,C,D,C,0.15306122448979592
0.02,0.98,D,C,D,C,D,C,0.030612244897959183
1.0,1.0,C,C,C,C,C,C,1.0
0.2,0.96,D,C,D,C,D,C,0.21428571428571427
0.28,0.3,D,D,C,D,D,D,0.5612244897959183
0.99,0.98,C,D,C,C,C,C,1.0
0.34,0.0,D,D,C,D,D,D,0.6632653061224489
0.02,0.97,D,C,D,C,D,C,0.02040816326530612
0.27,0.26,D,C,C,D,D,D,0.5204081632653061
0.31,0.14,C,D,D,D,D,D,0.5918367346938775
0.37,0.36,D,D,D,D,D,C,0.5816326530612245
1.0,1.0,C,C,C,C,C,C,1.0
0.04,0.9,D,D,D,C,D,C,0.05102040816326531
0.34,0.01,D,D,C,D,D,D,0.673469387755102
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.05,0.98,D,C,D,C,D,C,0.061224489795918366
1.0,1.0,C,C,C,C,C,C,1.0
0.06,0.84,D,C,D,C,D,C,0.21428571428571427
0.04,0.75,D,C,D,C,D,C,0.2755102040816326
0.04,0.67,D,C,D,C,D,C,0.35714285714285715
0.03,0.67,D,D,D,C,D,C,0.3469387755102041
0.04,0.5,D,D,D,C,D,D,0.4897959183673469
0.34,0.33,D,C,D,D,C,D,0.6632653061224489
1.0,1.0,C,C,C,C,C,C,1.0
0.34,0.0,D,D,C,D,D,D,0.6632653061224489
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.02,0.49,D,D,D,C,D,D,0.5
0.26,0.27,C,D,D,D,D,D,0.5
0.99,0.98,C,D,C,C,C,C,1.0
0.29,0.29,D,C,C,D,D,D,0.5306122448979592
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.02,0.97,D,C,D,C,D,C,0.02040816326530612
1.0,0.99,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.5,0.54,D,D,D,D,C,D,0.6530612244897959
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.26,0.49,C,C,C,C,D,D,0.47959183673469385
1.0,1.0,C,C,C,C,C,C,1.0
0.34,0.01,C,D,D,D,D,D,0.6530612244897959
0.45,0.43,D,D,D,C,C,D,0.6428571428571429
0.56,0.79,D,D,C,D,D,D,0.6530612244897959
1.0,1.0,C,C,C,C,C,C,1.0
0.3,0.24,C,D,D,D,D,D,0.5510204081632653
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.99,0.98,C,D,C,C,C,C,1.0
0.99,0.98,C,D,C,C,C,C,1.0
0.41,0.37,C,D,D,D,D,D,0.6530612244897959
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.98,0.96,C,C,C,C,C,C,0.9795918367346939
0.34,0.0,D,D,C,D,D,D,0.6632653061224489
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.02,0.98,D,C,D,C,D,C,0.030612244897959183
1.0,1.0,C,C,C,C,C,C,1.0
0.34,0.02,D,D,D,D,C,D,0.6530612244897959
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.34,0.01,D,D,C,D,D,D,0.673469387755102
0.34,0.03,D,D,D,D,C,D,0.6428571428571429
0.34,0.03,D,D,D,D,C,D,0.6428571428571429
0.34,0.03,D,D,D,D,C,D,0.6428571428571429
0.34,0.03,D,D,D,D,C,D,0.6428571428571429
0.34,0.03,D,D,D,D,C,D,0.6428571428571429
0.26,0.26,C,D,D,D,D,D,0.4897959183673469
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.11,0.9,D,C,D,C,D,C,0.14285714285714285
0.04,0.97,D,C,D,C,D,C,0.02040816326530612
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.29,0.47,D,D,D,D,C,D,0.5306122448979592
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,0.99,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.33,0.3,D,D,D,D,D,C,0.5612244897959183
0.02,0.98,D,C,D,C,D,C,0.030612244897959183
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.02,0.99,D,C,D,C,D,C,0.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.02,0.98,D,C,D,C,D,C,0.030612244897959183
0.96,0.94,C,C,C,C,C,C,0.9795918367346939
0.26,0.26,D,C,C,D,D,D,0.4897959183673469
0.26,0.26,D,C,C,D,D,D,0.4897959183673469
0.35,0.01,D,D,D,D,C,D,0.6530612244897959
0.32,0.1,D,D,C,D,D,D,0.6428571428571429
0.02,0.51,D,D,D,C,D,D,0.47959183673469385
1.0,1.0,C,C,C,C,C,C,1.0
0.27,0.25,D,D,D,D,D,C,0.5102040816326531
0.28,0.36,D,D,D,C,D,D,0.5612244897959183
1.0,1.0,C,C,C,C,C,C,1.0
0.33,0.45,D,C,D,D,D,C,0.5918367346938775
0.26,0.26,D,D,D,C,C,D,0.5204081632653061
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
1.0,1.0,C,C,C,C,C,C,1.0
0.99,0.98,C,C,C,C,C,C,0.9693877551020408
0.12,0.95,D,C,D,C,D,C,0.14285714285714285
1.0,1.0,C,C,C,C,C,C,1.0
